love	haha	wow	sad	angry
mensen	mensen	mensen	mensen	land
goed	land	land	vluchtelingen	mensen
mooi	nederland	nederland	goed	nederland
eigen	gratis	huis	mooi	huis
vluchtelingen	goed	terug	eigen	uitgeprocedeerd
man	terug	uitgeprocedeerd	kinderen	eigen
kinderen	eigen	gaan	krijgen	nederlanders
weet	huis	eigen	land	kraken
zelf	nederlandse	komen	nederland	eu
allemaal	nederlanders	gaat	wonen	goed
gaan	mabel	iedereen	man	lekker
iedereen	media	niks	huis	gasten
land	nieuws	helemaal	mannen	landen
wereld	vluchtelingen	goed	nee	niks
zweden	burgemeester	nederlanders	europa	vluchtelingen
denk	criminele	vluchtelingen	allemaal	uitzetten
linkse	geld	blijven	iemand	blijven
nederland	pvv	krijgen	mevrouw	europa
zien	staat	gratis	oss	regering
lekker	tijd	mabel	nieuws	lui
nieuws	dom	wereld	stuk	herkomst
ô	iemand	allemaal	terug	asielzoekers
stuk	asielzoekers	genoeg	turkije	genoeg
werken	ras	landen	landen	iedereen
respect	criminelen	lekker	nederlanders	man
afghanistan	links	links	eu	recht
mening	strafblad	lui	iedereen	tuig
mens	herkomst	regering	leven	huizen
terug	link	uitzetten	mening	nederlander
iemand	niemand	werk	lekker	wonen
links	onzin	gasten	probleem	geld
veilig	probleem	herkomst	volk	illegaal
actie	vvd	karskens	vrouwen	links
bananen	gelukzoekers	probleem	discussie	niemand
dom	stemmers	asielzoekers	dom	snel
leven	wereld	betalen	niemand	betalen
niks	werken	eruit	verkrachters	leger
prachtig	wilders	geld	wereld	oppakken
ù	genoeg	illegaal	buren	politie
asielzoekers	moeilijk	oorlog	domme	probleem
beetje	nodig	huizen	duidelijk	snap
geld	verleden	nodig	erg	soort
nederlanders	waarheid	recht	heesen	walusimbi
kader	werk	respect	kader	weken
ouderen	witte	soort	nieuwe	wereld
reacties	allochtonen	walusimbi	nodig	leven
samenleving	aso	bruinsma	oplossing	manweeri
üëè	eu	criminele	per	staat
beleid	kans	feit	prachtig	turkije
domme	marokkanen	manweeri	pvv	vvd
duidelijk	opmerking	nederlander	soort	woning
gelul	regels	situatie	straat	gedwongen
held	staan	syri	vluchten	rijden
hendrik	tuig	tuig	werken	roepen
probleem	volk	volk	wijk	bah
rechts	vrouw	crimineel	zorgen	begin
vluchten	beetje	gedwongen	zoveel	beleid
cda	burgers	migranten	betalen	cultuur
europa	crimineel	normaal	blijven	gratis
media	erg	onzin	dag	grenzen
meisje	gelukkig	strafblad	enige	klote
rechtse	koloniale	bah	erdogan	nederlands
rusland	kust	criminelen	gemeente	normaal
school	lekker	eu	hetzelfde	open
taal	maatschappij	feiten	jaar	schrijven
tijd	migranten	journalist	jonge	situatie
uitkering	oranje	oppakken	kim	slappe
vvd	politiek	veilig	laten	straat
abdolah	regeltjes	vrouw	lijkt	volk
africa	serieus	wegwezen	marco	wegwezen
afrika	snel	werken	mens	werk
extreem	trump	woning	natuurlijk	beschermen
helaas	turkije	asielzoeker	nederlandse	bouwen
negatief	aanslag	burgers	racist	frankrijk
ontroerend	aardige	frankrijk	roepen	gedoogd
oosten	bewijzen	kinderen	staat	grens
populisme	blij	kop	verkrachter	groep
pvv	bron	kosten	vluchteling	krakers
rotracist	domme	krakers	vrouw	linkse
staat	echte	leger	week	nederlandse
triest	europa	linkse	woont	opzouten
vlucht	fake	migrant	zit	paspoort
westen	feit	nederlands	antwoord	respect
activiste	gasten	opzouten	cda	rutte
afghaan	grenzen	üëç	dank	uitgezet
afghanen	integreren	vrachtwagen	empathie	vrachtwagen
china	jammer	zorg	garanderen	werken
commentaar	kinderen	aanpakken	ge	aanpakken
cultuur	lui	assad	geld	aso
elite	lul	auto	gezegd	auto
familie	migrant	bewoners	gezet	bed
fantastisch	moslims	boot	goede	beetje
gelukkig	nederlander	calais	graag	boot
geweld	propaganda	erdogan	griffioen	burger
geweldig	racist	gelukszoekers	haha	calais
hoop	retour	grens	hand	crimineel
military	uitzetten	groep	he	culturen
oplossing	vlag	klachten	horen	dank
partij	vluchteling	klagen	idd	direct
partijen	zorg	maatschappij	inderdaad	echte
populistisch	aanpassen	meewerken	kam	elkaar
prachtige	achtergrond	olie	ken	erdogan
problemen	afrika	oranje	kent	gelukzoekers
slachtoffers	azc	rechts	kun	hard
trots	beleid	ruimte	ligt	helaas
turkije	belgi	soros	meneer	kapot
vermoord	betalen	uitgeprocedeerde	overal	kijken
vliegtuig	bevolking	vader	persoonlijk	kosten
vluchteling	boerka	vakantie	priscilla	landje
volk	boodschappen	vliegtuig	problemen	meewerken
voorbeeld	chronisch	week	snap	optreden
vrolijk	circuit	werkt	soms	paar
war	discriminatie	witte	taal	pakken
westerse	duidelijk	achtergrond	thuis	regeltjes
wijf	eerlijke	allochtonen	tuig	samenleving
afghan	erger	asiel	üëè	uitgeprocedeerde
afkeer	euro	beroep	verwoord	vliegtuig
amsterdam	fijn	bouwen	vind	zorg
assaulted	geloof	brood	werkt	asielzoeker
china's	goede	contact	weten	baas
	goeie	direct	wijze	criminelen
	helaas	elkaar	woorden	engeland
	hoop	engeland	zeg	enkeltje
	huilie	enkeltje	600	feit
	linkse	fijn	abdolah	geboren
	mevrouw	geloven	asielzoekers	gedragen
	migratie	gelukzoekers	bang	gekker
	mooi	gemaakt	begrijp	gelukszoekers
	negatieve	gemeente	beleid	goede
	onderzoek	helpen	brabant	humor
	oorlog	jong	deal	mens
	plunderaars	kapot	esther	migranten
	recht	liegt	familie	mooi
	rutte	migratie	fijn	nergens
	samenleving	mooie	gedaan	noordzij
		nieuws	gemaakt	normen
		noordzij	grenzen	oplossing
		optreden	groep	politiek
		rechten	groot	problemen
		safia	grote	rechten
		schrijven	harder	rechts
		stroom	heideveld	ruimte
			kans	safia
			manier	schandalig
			nederlander	slaan
			nederlands	terugsturen
			ontroerend	thuis
			oorlog	thuislanden
			reactie	vast
			reageren	veilig
			recht	verlaten
			ren	vluchteling
			schaam	vrouw
			schuld	westerlingen
			spreken	aanpassen
			stuur	afrika
			uitkering	australi
			ù	bad
			vertellen	belasting
			vier	bepaalde
			vinden	beroep
			vvd	best
			zo'n	blij
			200	burgemeester
			300	dood
			aandacht	dwingen
			ach	erger
			angst	fijn
			arnout	gajes
			bedoel	
			bewoners	
			bijstand	
			buurman	
			criminelen	
			deel	
			delen	
			elisabeth	
			euro	
			fb	
			geboren	
			geholpen	
			geweldig	
			gezin	
			helpen	
			hoop	
			houden	
			iedere	
			ipv	
			jaren	
			kind	
			meestal	
			meeste	
			midden	
			mooie	
			moslims	
			negatief	
			nogmaals	
			onaardig	
			ontmoet	
			ontvangen	
			ooit	
			oosten	
			overduin	
			partij	
			partijen	
			perspectief	
			praat	
			prachtige	
			praten	
			prima	
			reacties	
			regering	
			rutte	
			schaeffer	
			schrijver	
			slechte	
			sorry	
			verkeerd	
			zielig	
			aanranders	
			aardig	
			afkeer	
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
